bird,freq
argya_aylmeri,13
argya_caudata,21
argya_cinereifrons,6
argya_earlei,21
argya_fulva,16
argya_gularis,8
argya_huttoni,21
argya_longirostris,12
argya_malcolmi,39
argya_rubiginosa,12
argya_rufescens,22
argya_squamiceps,13
argya_striata,101
argya_subrufa,31
arizelocichla_chlorigula,45
arizelocichla_fusciceps,12
arizelocichla_kakamegae,1
arizelocichla_kikuyuensis,11
arizelocichla_masukuensis,30
arizelocichla_milanjensis,1
arizelocichla_montana,3
arizelocichla_neumanni,2
arizelocichla_nigriceps,4
arizelocichla_olivaceiceps,3
arizelocichla_striifacies,18
arizelocichla_tephrolaema,8
arremon_abeillei,42
arremon_assimilis,240
arremon_atricapillus,49
arremon_aurantiirostris,214
arremon_basilicus,21
arremon_brunneinucha,249
arremon_castaneiceps,38
arremon_costaricensis,14
arremon_crassirostris,12
arremon_flavirostris,80
arremon_franciscanus,30
arremon_perijanus,17
arremon_phaeopleurus,2
arremon_phygas,4
arremon_schlegeli,26
arremon_semitorquatus,57
arremon_taciturnus,140
arremon_torquatus,36
arremon_virenticeps,39
arremonops_chloronotus,31
arremonops_conirostris,189
arremonops_rufivirgatus,77
arremonops_tocuyensis,13
arses_insularis,12
arses_kaupi,12
arses_lorealis,5
arses_telescopthalmus,26
artamella_viridis,10
artamus_cinereus,10
artamus_cyanopterus,19
artamus_fuscus,41
artamus_insignis,1
artamus_leucorynchus,46
artamus_maximus,14
artamus_mentalis,3
artamus_minor,5
artamus_monachus,4
artamus_personatus,17
artamus_superciliosus,15
artemisiospiza_belli,119
artemisiospiza_nevadensis,57
artisornis_metopias,71
artisornis_moreaui,20
arundinax_aedon,85
arundinicola_leucocephala,26
asarcornis_scutulata,4
asio_capensis,15
asio_flammeus,211
asio_madagascariensis,5
asio_otus,899
asio_stygius,57
aspatha_gularis,38
asthenes_anthoides,18
asthenes_arequipae,18
asthenes_ayacuchensis,1
asthenes_baeri,41
asthenes_berlepschi,10
asthenes_coryi,13
asthenes_dorbignyi,47
asthenes_flammulata,57
asthenes_fuliginosa,99
asthenes_griseomurina,51
asthenes_harterti,37
asthenes_helleri,24
asthenes_heterura,16
asthenes_huancavelicae,27
asthenes_hudsoni,16
asthenes_humilis,5
asthenes_luizae,9
asthenes_maculicauda,18
asthenes_modesta,68
asthenes_moreirae,60
asthenes_ottonis,37
asthenes_palpebralis,35
asthenes_perijana,15
asthenes_pudibunda,16
asthenes_pyrrholeuca,42
asthenes_sclateri,20
asthenes_urubambensis,15
asthenes_vilcabambae,5
asthenes_virgata,16
asthenes_wyatti,41
astrapia_mayeri,4
astrapia_nigra,2
astrapia_rothschildi,2
astrapia_splendidissima,9
astrapia_stephaniae,8
atalotriccus_pilaris,73
atelornis_crossleyi,17
atelornis_pittoides,14
athene_blewitti,19
athene_brama,37
athene_cunicularia,152
athene_noctua,1043
athene_superciliaris,15
atimastillas_flavicollis,38
atlapetes_albiceps,13
atlapetes_albinucha,55
atlapetes_albofrenatus,51
atlapetes_canigenis,11
atlapetes_citrinellus,3
atlapetes_crassus,67
atlapetes_flaviceps,60
atlapetes_forbesi,6
atlapetes_fulviceps,31
atlapetes_fuscoolivaceus,32
atlapetes_latinuchus,139
atlapetes_leucopis,35
atlapetes_leucopterus,26
atlapetes_melanocephalus,37
atlapetes_melanolaemus,16
atlapetes_melanopsis,8
atlapetes_meridae,9
atlapetes_nationi,12
atlapetes_nigrifrons,16
atlapetes_pallidiceps,37
atlapetes_pallidinucha,96
atlapetes_personatus,21
atlapetes_pileatus,60
atlapetes_rufigenis,14
atlapetes_rufinucha,17
atlapetes_schistaceus,122
atlapetes_seebohmi,16
atlapetes_semirufus,22
atlapetes_tricolor,16
atrichornis_clamosus,14
atrichornis_rufescens,45
attagis_gayi,47
attagis_malouinus,8
atthis_ellioti,20
atthis_heloisa,25
atticora_fasciata,47
atticora_melanoleuca,6
attila_bolivianus,83
attila_cinnamomeus,146
attila_citriniventris,108
attila_phoenicurus,69
attila_rufus,140
attila_spadiceus,431
attila_torridus,49
augastes_lumachella,26
augastes_scutatus,23
aulacorhynchus_albivitta,132
aulacorhynchus_atrogularis,23
aulacorhynchus_caeruleogularis,29
aulacorhynchus_coeruleicinctis,27
aulacorhynchus_derbianus,40
aulacorhynchus_haematopygus,96
aulacorhynchus_huallagae,6
aulacorhynchus_prasinus,55
aulacorhynchus_sulcatus,34
aulacorhynchus_wagleri,6
aulacorhynchus_whitelianus,2
auriparus_flaviceps,219
automolus_exsertus,25
automolus_infuscatus,125
automolus_lammi,36
automolus_leucophthalmus,189
automolus_melanopezus,39
automolus_ochrolaemus,277
automolus_paraensis,56
automolus_rufipileatus,124
automolus_subulatus,98
automolus_virgatus,79
aviceda_cuculoides,6
aviceda_jerdoni,14
aviceda_leuphotes,6
aviceda_madagascariensis,1
aviceda_subcristata,23
avocettula_recurvirostris,5
aythya_affinis,9
aythya_americana,18
aythya_australis,1
aythya_baeri,1
aythya_collaris,42
aythya_ferina,106
aythya_fuligula,176
aythya_marila,24
aythya_novaeseelandiae,1
aythya_nyroca,20
aythya_valisineria,12
baeolophus_atricristatus,59
baeolophus_bicolor,315
baeolophus_inornatus,146
baeolophus_ridgwayi,103
baeolophus_wollweberi,79
baeopogon_clamans,7
baeopogon_indicator,51
balearica_pavonina,3
balearica_regulorum,19
bambusicola_fytchii,14
bambusicola_sonorivox,24
bambusicola_thoracicus,35
bangsia_arcaei,1
bangsia_aureocincta,20
bangsia_edwardsi,28
bangsia_flavovirens,16
bangsia_melanochlamys,27
bangsia_rothschildi,16
barnardius_zonarius,42
bartramia_longicauda,80
baryphthengus_martii,100
baryphthengus_ruficapillus,123
basileuterus_belli,49
basileuterus_culicivorus,373
basileuterus_ignotus,9
basileuterus_lachrymosus,48
basileuterus_melanogenys,30
basileuterus_melanotis,18
basileuterus_punctipectus,17
basileuterus_rufifrons,251
basileuterus_tacarcunae,1
basileuterus_trifasciatus,33
basileuterus_tristriatus,193
basilinna_leucotis,82
basilinna_xantusii,15
basilornis_celebensis,5
basilornis_corythaix,2
basilornis_galeatus,3
basilornis_mirandus,11
batara_cinerea,184
bathmocercus_cerviniventris,2
bathmocercus_rufus,42
batis_capensis,76
batis_crypta,73
batis_diops,15
batis_erlangeri,19
batis_fratrum,12
batis_ituriensis,11
batis_margaritae,7
batis_minima,3
batis_minor,10
batis_mixta,20
batis_molitor,111
batis_orientalis,17
batis_perkeo,18
batis_poensis,4
batis_pririt,62
batis_senegalensis,14
batis_soror,17
batrachostomus_affinis,37
batrachostomus_auritus,28
batrachostomus_chaseni,6
batrachostomus_cornutus,27
batrachostomus_harterti,5
batrachostomus_hodgsoni,20
batrachostomus_javensis,14
batrachostomus_mixtus,9
batrachostomus_moniliger,23
batrachostomus_poliolophus,7
batrachostomus_septimus,29
